term,date,rank,estimated_search_volume
college ruled paper,2024-08-24,2972,4204.0
college ruled paper,2024-08-31,5153,2815.0
college supplies,2024-04-13,114122,228.0
college supplies,2024-04-20,100760,254.0
college supplies,2024-04-27,84384,297.0
college supplies,2024-05-04,85781,292.0
college supplies,2024-05-11,75695,326.0
college supplies,2024-05-18,75190,328.0
college supplies,2024-05-25,84649,296.0
college supplies,2024-06-01,84621,296.0
college supplies,2024-06-08,81635,305.0
college supplies,2024-06-15,82253,303.0
college supplies,2024-06-22,72885,337.0
college supplies,2024-06-29,61637,389.0
college supplies,2024-07-06,53207,441.0
college supplies,2024-07-13,39110,571.0
college supplies,2024-07-27,30820,695.0
college supplies,2024-08-03,26944,776.0
college supplies,2024-08-10,29161,727.0
college supplies,2024-08-17,28383,744.0
college supplies,2024-08-24,34268,637.0
college supplies,2024-08-31,5673,2621.0
color changing foundation,2024-04-13,137851,193.0
color changing foundation,2024-04-20,115130,226.0
color changing foundation,2024-04-27,147487,181.0
color changing foundation,2024-05-04,164314,165.0
color changing foundation,2024-05-11,117802,221.0
color changing foundation,2024-05-18,48883,473.0
color changing foundation,2024-05-25,54114,434.0
color changing foundation,2024-06-01,62618,384.0
color changing foundation,2024-06-08,86095,291.0
color changing foundation,2024-06-15,88319,285.0
color changing foundation,2024-06-22,109655,236.0
color changing foundation,2024-06-29,91517,276.0
color changing foundation,2024-07-06,87051,289.0
color changing foundation,2024-07-13,79978,311.0
color changing foundation,2024-07-27,18712,1042.0
color changing foundation,2024-08-03,12799,1408.0
color changing foundation,2024-08-10,8409,1948.0
color changing foundation,2024-08-17,10503,1642.0
color changing foundation,2024-08-24,12476,1436.0
color changing foundation,2024-08-31,19850,994.0
colored pencils,2024-04-13,842,9995.0
colored pencils,2024-04-20,862,9842.0
colored pencils,2024-04-27,782,10492.0
colored pencils,2024-05-04,835,10050.0
colored pencils,2024-05-11,803,10312.0
colored pencils,2024-05-18,801,10329.0
colored pencils,2024-05-25,804,10303.0
colored pencils,2024-06-01,831,10082.0
colored pencils,2024-06-08,776,10545.0
colored pencils,2024-06-15,834,10058.0
colored pencils,2024-06-22,803,10312.0
colored pencils,2024-06-29,603,12419.0
colored pencils,2024-07-06,465,14652.0
