term,asin,title,category,subcategory,brand,list_price_amount,list_price_currency,image_url
sacapuntas de lapiz,B088BWYFMX,"Aipker Manual 4PCS Colorful Compact Dual Holes Pencil Sharpeners with Lid for Kids & Adults, Portable for School Office",Office Product,Office Product,Aipker,9.99,USD,https://m.media-amazon.com/images/I/41X83zpeS6L._SL75_.jpg
sacapuntas de lapiz,B09KLSXQC3,"Mr. Pen- Pencil Sharpener & Eraser, 4 Pack, Colorful, 2 Sharpening Holes, Manual Handheld Small Pencil Sharpener",Office Product,Office Product,Mr. Pen,9.99,USD,https://m.media-amazon.com/images/I/41y7Swdw2rL._SL75_.jpg
samsung replacement tv remote,B083M1BLT5,"Replacement Remote Control for Samsung Smart-TV LCD LED UHD QLED TVs, with Netflix, Prime Video Buttons",Electronics,CE,vtinvan,16.99,USD,https://m.media-amazon.com/images/I/31sK3u9GYYS._SL75_.jpg
samsung replacement tv remote,B08CZ1FYBD,Newest Universal Remote Control for All Samsung TV Remote Compatible All Samsung LCD LED HDTV 3D Smart TVs Models,Electronics,CE,ATA-D,9.96,USD,https://m.media-amazon.com/images/I/312MnM4WNXL._SL75_.jpg
samsung replacement tv remote,B08ZKMJWJH,"Universal Remote Control Compatible for All Samsung TV LED QLED UHD SUHD HDR LCD Frame Curved Solar HDTV 4K 8K 3D Smart TVs, with Buttons for Netflix, Prime Video, WWW",Electronics,CE,EWO'S,18.98,USD,https://m.media-amazon.com/images/I/31hGU1jbWLL._SL75_.jpg
samsung replacement tv remote,B091BD6KJR,Samsung OEM Remote Control with Netflix Hotkey - Black (BN59-01315J),Electronics,CE,Samsung,32.91,USD,https://m.media-amazon.com/images/I/31GNuheszcL._SL75_.jpg
samsung replacement tv remote,B0CT2M293W,"【Pack of 2】 Replacement Remote for All Samsung Smart TVs,with Netflix, Prime-Video and Hulu Shortcut Buttons",Electronics,CE,LOUTOC,14.99,USD,https://m.media-amazon.com/images/I/414O1nRvj3L._SL75_.jpg
samsung replacement tv remote,B0CX8WPQ2Q,BN59-01385A Solar Voice Remote Replacement for Samsung TV Remote with Bluetooth Rechargeable Solar Cell Compatible with Samsung Frame Neo LED Smart 4K Ultra HD TV (BN59-01391A BN59-01357A BN59-01358F),Electronics,CE,ExploreHome,59.95,USD,https://m.media-amazon.com/images/I/417+uXvXx3L._SL75_.jpg
sandwich cutters for kids lunch,B0066CIKNA,"FunBites Food Cutter for Kids, Green Squares",Baby Product,Baby Product,FUNBITES,9.99,USD,https://m.media-amazon.com/images/I/51LV0Aw5bVL._SL75_.jpg
sandwich cutters for kids lunch,B08R8VQWY5,HiYZ Sandwich Cutter and Sealer - 5 PCS Decruster Sandwich Maker - Peanut Butter and Jelly Crustless Sandwich Bread Pancake Maker Cookie Cutter for Kids Children Boys Girls,Kitchen,Kitchen,HiYZ,19.99,USD,https://m.media-amazon.com/images/I/41EbdUUSdHL._SL75_.jpg
sandwich cutters for kids lunch,B091Q1G91L,"Sandwiches cookie Cutter set,Mouse & Dinosaur & Heart & Star Shapes Sandwich Cutters Cookie Cutters Vegetable cutters-Food Grade Cookie Cutter Stamps Mold Decorate Food for Kids",Kitchen,Kitchen,wooyaya,9.99,USD,https://m.media-amazon.com/images/I/512LOrkQV9L._SL75_.jpg
sandwich cutters for kids lunch,B09F8RVRXZ,HINZER Sandwich Cutter and Sealer Set Uncrustables Maker 4 Pcs Bread Decruster Pancake Maker Heart Square Circle Dinosaur Shape DIY Cookie Cutters Gift for Kids Adult Boys Girls,Kitchen,Kitchen,HINZER,17.99,USD,https://m.media-amazon.com/images/I/51SRhPkvP4L._SL75_.jpg
sandwich cutters for kids lunch,B0BDRTDHQB,JOGILBOY 32 Pcs DIY Food Set Sandwich Cutters and Sealer Sandwiches Maker Fun Crust Cutters Shapes Fruit and Vegetable Cutters Food Picks Fruit Bento Lunch Box Accessories,Kitchen,Kitchen,JOGILBOY,9.99,USD,https://m.media-amazon.com/images/I/51QUcnG+MTL._SL75_.jpg
sandwich cutters for kids lunch,B0BFRJHD8H,"24Pcs Sandwich Cutter and Sealer Set Bread Sandwich Cutter Pancake Maker Heart Square Dinosaur Start Shaper,etc (24)",Other,Kitchen,BAOWIN,20.0,USD,https://m.media-amazon.com/images/I/51pJKupihGL._SL75_.jpg
sandwich cutters for kids lunch,B0BK4K6BM8,Sandwich Cutter and Sealer for Kids Large Bread Sandwich Decruster Pancake Maker 10PCS Fruits Cookies Vegetables Shaped Cutters for Kids Lunch Bento Box Dinosuar Mickey Heart Star flower,Kitchen,Kitchen,HiHITAOO,16.99,USD,https://m.media-amazon.com/images/I/51cR5DHBa2L._SL75_.jpg
sandwich cutters for kids lunch,B0BXX2XP43,"Sandwich Cutter for Kids Lunch 22 Pcs (LARGE), Nifogo Sandwich Maker, Cookie Cutters and Sealer Set, Bread Decruster, Dinosaur Mickey Square Circle Shape for Boys Girls",Kitchen,Kitchen,Nifogo,11.97,USD,https://m.media-amazon.com/images/I/51QyxLscxsL._SL75_.jpg
sandwich cutters for kids lunch,B0CFLJWJ4L,"Sandwich Cutter and Sealer, Sandwich Cutter for Kids 5 PCS（BIG）, Decruster Sandwich Maker, Great for Lunchbox and Bento Box - Boys and Girls Kids Lunch",Kitchen,Kitchen,AKHMLEF,14.99,USD,https://m.media-amazon.com/images/I/51xyZD1THKL._SL75_.jpg
sandwich cutters for kids lunch,B0CP2GH26W,"Sandwich Cutters for Kids Lunch LARGE 6 Pcs, Kimfead Sandwich Maker, Cookie Cutters Set, Dinosaur Mouse Heart Star Bear",Kitchen,Kitchen,Kimfead,9.99,USD,https://m.media-amazon.com/images/I/51JXmvYSAhL._SL75_.jpg
sandwich cutters for kids lunch,B0D397CM1S,IELEK Sandwich Bread Shape Cutters for Kids Vegetable Fruit Cookie Cutter Molds - Cute for Boys and Girls Lunchbox and Bento Box,Kitchen,Kitchen,IELEK,29.99,USD,https://m.media-amazon.com/images/I/51bJLPhVVfL._SL75_.jpg
sausage party,B01JB7ATB2,Sausage Party,Prime Video,Movie,,,,https://m.media-amazon.com/images/I/41zhoaZen-L._SL75_.jpg
sausage party,B0CTMBV4Y2,Sausage Party: Foodtopia – Season 1,Prime Video,TV Series Season Video on Demand,,,,https://m.media-amazon.com/images/I/51gZe6aZe6L._SL75_.jpg
sausage party,B0D21F63QN,Sausage Party: Foodtopia - Trailer,Prime Video,TV Series Episode Video on Demand,,,,https://m.media-amazon.com/images/I/51gZe6aZe6L._SL75_.jpg
sausage party,B0D338VTNG,First Course,Prime Video,TV Series Episode Video on Demand,,,,https://m.media-amazon.com/images/I/31FndRiAstL._SL75_.jpg
school backpack,B0007QCQGI,"JanSport SuperBreak One School Backpack, Black",Luggage,Luggage,JanSport,38.0,USD,https://m.media-amazon.com/images/I/31LfEgHkOZL._SL75_.jpg
school backpack,B0BC93R1DF,"Solid Color School Backpack for Teen Girls, Multi-pocket Elementary Middle School Girls Kids Backpacks, Lightweight Casual Daypack",Unknown Binding,Luggage,Bansusu,25.8,USD,https://m.media-amazon.com/images/I/41JaZ+hs26L._SL75_.jpg
school backpack,B0D2Q61QF4,"ZORFIN 26L Black Backpack for School, College, and Travel: Water Resistant Bookbag with 8 Compartments",Apparel,Luggage,ZORFIN,35.99,USD,https://m.media-amazon.com/images/I/410kvTXJDLL._SL75_.jpg
school backpack for boys,B073G4MM6M,PUMA EVERCAT CONTENDER BACKPACK,Luggage,Luggage,PUMA,35.0,USD,https://m.media-amazon.com/images/I/41CG8hWxvGL._SL75_.jpg
school backpack for boys,B079K963KG,rickyh style Backpack for Students kids bag Lightweight Waterproof 15.6 Inch,Apparel,Apparel,rickyh style,19.99,USD,https://m.media-amazon.com/images/I/51xmhhLSiCL._SL75_.jpg
school backpack for boys,B07CPW148Z,abshoo Classical Basic Womens Travel Backpack For College Men Water Resistant Bookbag (Black),Apparel,Apparel,abshoo,59.99,USD,https://m.media-amazon.com/images/I/41ygyVRCS7L._SL75_.jpg
school backpack for boys,B07WQPC32K,Asge boys backpack for kids camo bookbag for middle school bags travel back pack (Blue),Apparel,Luggage,Asge,49.99,USD,https://m.media-amazon.com/images/I/51HiKx8E2vL._SL75_.jpg
school backpack for boys,B07Z7F1JVS,"Under Armour Unisex-Adult Hustle 5.0 Backpack , Academy Blue (409)/White , One Size Fits All",Apparel,Apparel,Under Armour,55.0,USD,https://m.media-amazon.com/images/I/41pE9kUb52L._SL75_.jpg
school backpack for boys,B08JW8X9HP,"adidas Creator 2 Backpack, Black/White, One Size",Luggage,Luggage,adidas,45.0,USD,https://m.media-amazon.com/images/I/41NZBPCBmoS._SL75_.jpg
school backpack for boys,B0B9RZ6F86,"Camo Boys Backpacks for Middle School Elementary, Camo Bookbags for Teens Boys, Camouflage School Bags for Boys",Apparel,Luggage,Bansusu,23.8,USD,https://m.media-amazon.com/images/I/41-oTY-V4IL._SL75_.jpg
school backpack for boys,B0BNPQ3W6Q,"ACESAK Backpack for Boys - Boy Backpack Schoolbag for Boys Kids Children Teens Girls Elementary Middle School Bags, Waterproof Lightweight Kids Bookbag Backpacks Casual Daypack with Lunch Bag Set",Luggage,Apparel,ACESAK,36.99,USD,https://m.media-amazon.com/images/I/51hKBEpMW5L._SL75_.jpg
school backpack for boys,B0CLVC98XT,TILYTADLY School Backpack For Boys - Gamer Boys Backpack For Kids Children Teens Elementary Middle School - Boys Backpacks Ages 6-18，17″ Video Game Bookbag Travel Back Pack,Luggage,Luggage,TILYTADLY,41.99,USD,https://m.media-amazon.com/images/I/41PPaL0z3-L._SL75_.jpg
school backpack for boys,B0D38RF6PQ,Meetbelify Backpacks for Boys School Backpacks for Elementary Students Ages 8-10 Kids Aesthetic Travel Backpack Laptop Bookbag with Lunch Box Pencil Case 3 in 1 Backpack Set for Boys,Apparel,Apparel,Meetbelify,55.99,USD,https://m.media-amazon.com/images/I/51AL2FEKDML._SL75_.jpg
school backpack for girls,B07CHYDSX6,Bansusu Geometric-Print Purple-Backpack for Girls Middle-School Elementary Bookbags,Apparel,Apparel,Bansusu,22.8,USD,https://m.media-amazon.com/images/I/51Wr91-jhpL._SL75_.jpg
school backpack for girls,B07P6MMK1B,"High Sierra Loop Backpack, Travel, or Work Bookbag with tablet sleeve, One Size, Shine Blue/Lapis",Luggage,Luggage,High Sierra,44.99,USD,https://m.media-amazon.com/images/I/51Xwj0lucpL._SL75_.jpg
school backpack for girls,B08W2P796G,JanSport SuperBreak Plus Backpack with Padded 15-inch Laptop Sleeve and Integrated Bottle Pocket - Spacious and Durable Daypack for Work and Travel - Misty Rose,Apparel,Luggage,JanSport,42.0,USD,https://m.media-amazon.com/images/I/31kH7RpSkiL._SL75_.jpg
school backpack for girls,B096RJDZZF,"JiaYou Teenage Girls' Backpack Middle School Students Bookbag Outdoor Daypack with USB Charge Port (21 Liters, Black Pink)",Other,Apparel,JiaYou,0.0,USD,https://m.media-amazon.com/images/I/41yIBOR3B6S._SL75_.jpg
school backpack for girls,B09B9MJP68,3Pcs Daisy Prints Backpack Sets Kids Bookbag Primary School Daypack Elementary Students Knapsack for Teens Girls,Unknown Binding,Apparel,EKUIZAI,36.99,USD,https://m.media-amazon.com/images/I/41mDsuF51aL._SL75_.jpg
school backpack for girls,B09MTD2R4F,"LOVEVOOK Laptop Backpack for Women 15.6 inch,Cute Womens Travel Backpack Purse,Professional Laptop Computer Bag,Waterproof Work Business College Teacher Bags Carry on Backpack with USB Port,Mint Green",Apparel,Personal Computer,LOVEVOOK,49.99,USD,https://m.media-amazon.com/images/I/41AspJUMluL._SL75_.jpg
school backpack for girls,B09XQPV96Q,Geometric Prints Primary School Student Satchel Backpack For Girls,Apparel,Luggage,Bansusu,,,https://m.media-amazon.com/images/I/51C9Uyrwo6L._SL75_.jpg
school backpack for girls,B0B64KL8YY,"adidas Creator 2 Backpack, Gradient Flash Aqua/Onix Grey/White, One Size",Luggage,Luggage,adidas,45.0,USD,https://m.media-amazon.com/images/I/41tJd5grRWL._SL75_.jpg
school backpack for girls,B0BC93R1DF,"Solid Color School Backpack for Teen Girls, Multi-pocket Elementary Middle School Girls Kids Backpacks, Lightweight Casual Daypack",Luggage,Luggage,Bansusu,25.8,USD,https://m.media-amazon.com/images/I/41JaZ+hs26L._SL75_.jpg
school backpack for girls,B0C13LY62G,"Makukke Backpack for Girls Women, 15.6 Inch Laptop School Bag Elementary College Bookbag Anti Theft Daypack for Women Students (Pink)",Apparel,Luggage,Makukke,29.86,USD,https://m.media-amazon.com/images/I/51iuKpqHSSL._SL75_.jpg
school backpack for girls,B0C2GZSL18,"LOVEVOOK School Backpack for Teen Girls, College Student Backpacks Fit 15.6 Inch Laptop Bookbag, Cute Backpack Purse for 14-16 Teenage Lightweight Waterproof Casual Travel Backpack, Beige-khaki",Other,Luggage,LOVEVOOK,45.98,USD,https://m.media-amazon.com/images/I/41SHk0iAMFL._SL75_.jpg
school backpack for girls,B0C3CJS6CR,VIDOSCLA Kawaii Bunny Sequin Kids Girls Backpack Elementary Students Book Bag Primary School Bag for Teens,Apparel,Luggage,VIDOSCLA,35.99,USD,https://m.media-amazon.com/images/I/41O7FqiFxQL._SL75_.jpg
school backpack for girls,B0CDCNTZNP,"THE NORTH FACE Women's Jester Luxe Everyday Laptop Backpack, Gardenia White/Burnt Coral Metallic, One Size",Apparel,Apparel,THE NORTH FACE,80.0,USD,https://m.media-amazon.com/images/I/31BR0-Mo7wL._SL75_.jpg
